Call  Failure,Complains,Subscription  Length,Charge  Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Churn,Customer Value
4,0,36,0,1228,17,30,19,4,1,2,1,22.92
4,0,36,3,938,14,25,17,5,1,1,0,5.94
29,0,31,5,16675,248,21,95,2,1,1,0,759.825
10,0,34,5,7565,126,292,48,2,2,1,0,471.825
6,0,36,2,4318,92,23,43,3,1,1,0,136.44
7,1,35,0,2265,54,59,35,3,1,2,1,85.65
10,0,36,2,3380,63,196,38,2,1,1,0,240.3
8,0,27,3,1915,46,214,26,2,2,1,0,182.475
8,0,26,2,2168,49,51,83,4,1,1,0,40.17
15,0,27,0,1300,35,31,22,3,1,2,0,48.3
4,0,26,0,1425,20,42,18,4,1,2,0,27.675
14,0,25,2,1825,42,40,28,2,1,1,0,100.125
6,0,25,2,3825,71,29,38,3,1,1,0,123.45
6,0,18,2,2295,36,49,29,2,1,1,0,125.325
20,0,17,3,6993,151,106,57,2,2,1,0,362.385
16,0,15,2,9533,181,94,55,5,1,1,0,52.365
12,0,16,5,3453,55,52,34,3,1,1,0,119.19
6,0,9,3,4990,50,236,25,3,1,1,0,220.5
7,1,9,3,2088,29,21,22,3,1,1,1,68.94
4,0,38,0,3770,61,0,2,2,1,1,0,169.65
0,0,39,0,0,0,0,0,2,1,2,0,0
6,0,37,0,1853,50,338,9,2,1,1,0,235.485
6,0,38,0,3598,56,0,20,1,1,1,0,215.88
0,0,38,0,1793,48,0,18,1,1,1,0,107.58
7,0,38,0,3175,72,11,13,3,1,1,0,98.55
0,0,38,0,1760,29,264,3,3,1,1,0,132
9,0,37,0,8515,111,123,28,3,1,1,0,292.35
3,0,38,0,13173,159,0,29,3,1,1,0,395.19
3,0,38,0,3915,73,0,10,3,1,1,0,117.45
2,0,38,0,5318,85,0,15,2,1,1,0,239.31
5,0,38,0,1638,44,0,2,3,1,2,0,49.14
21,0,38,1,14540,215,33,17,3,1,1,0,446.1
0,0,38,0,2495,17,462,7,3,1,1,0,213.45
5,0,37,0,14885,172,129,15,2,1,1,0,727.875
0,0,37,0,5900,76,165,11,3,1,1,0,226.5
0,0,37,0,275,4,0,1,2,1,2,0,12.375
0,0,38,0,110,4,0,1,2,1,2,0,4.95
0,0,37,0,0,0,0,0,2,1,2,1,0
0,0,37,0,6908,117,363,28,2,1,1,0,474.21
3,0,37,0,10865,144,0,32,3,1,1,0,325.95
4,0,37,0,6118,65,87,22,2,1,1,0,314.46
19,0,33,0,355,37,0,2,2,1,2,1,15.975
17,0,36,6,9835,83,0,27,4,1,1,0,147.525
9,1,36,0,5218,88,5,9,2,1,1,1,237.06
0,0,34,0,2240,12,0,4,3,1,1,0,67.2
5,0,35,0,2390,31,0,1,3,1,2,1,71.7
5,0,36,0,1668,34,13,16,3,1,2,1,53.94
0,0,36,0,0,0,0,0,3,1,2,1,0
0,0,36,0,1068,15,0,3,3,1,1,0,32.04
0,0,33,0,6185,87,0,7,4,1,1,0,92.775
0,0,36,0,0,0,0,0,4,1,2,1,0
0,0,36,0,0,0,0,0,5,1,1,0,0
21,0,31,1,15475,228,0,65,2,1,1,0,696.375
2,0,34,1,6365,106,250,18,2,2,1,0,398.925
0,0,36,0,3118,72,0,13,2,1,1,0,140.31
0,0,35,0,1065,34,17,5,3,1,2,0,37.05
2,0,36,0,2180,43,154,8,2,1,1,0,167.4
0,0,27,0,715,26,172,1,2,2,1,0,109.575
0,0,26,0,968,29,9,53,4,1,1,0,15.87
7,0,27,0,100,15,0,3,2,1,2,0,4.5
0,0,26,0,0,0,0,0,4,1,2,0,0
6,0,25,0,625,22,0,2,2,1,1,0,28.125
0,0,25,0,2625,51,0,8,3,1,1,0,78.75
0,0,18,0,1095,16,7,6,2,1,1,0,52.425
12,0,17,0,5793,131,64,27,1,2,1,0,385.98
8,0,15,0,8333,161,52,25,4,1,1,0,132.795
4,0,16,1,2253,35,10,4,3,1,1,0,70.59
0,0,9,0,3790,30,194,23,3,1,1,0,171.9
0,1,9,0,888,9,0,3,3,1,1,1,26.64
8,0,39,1,4485,77,37,21,3,1,1,0,145.65
0,0,40,0,433,11,39,8,3,1,2,0,24.69
10,0,38,1,2568,66,391,28,3,1,1,0,194.34
10,0,39,1,4313,72,33,39,1,1,1,0,278.58
3,0,39,1,2508,64,34,37,2,1,1,0,128.16
11,0,39,2,3890,88,64,32,3,1,1,0,135.9
4,0,39,1,2475,45,317,22,4,1,1,0,84.675
13,0,38,3,9230,127,176,47,3,1,1,0,329.7
7,0,39,1,13888,175,32,48,3,1,1,0,426.24
7,0,39,2,4630,89,34,29,3,1,1,0,149.1
6,0,39,1,6033,101,39,16,3,1,1,0,192.69
9,1,39,0,2353,60,40,21,3,1,2,0,82.59
25,0,39,4,15255,231,86,36,3,1,1,0,483.45
4,0,39,2,3210,33,515,12,4,1,1,0,125.4
9,0,38,1,15600,188,182,34,2,1,1,0,783.9
3,0,38,2,6615,92,218,30,3,1,1,0,263.85
0,0,38,0,990,20,32,15,2,1,2,0,58.95
2,0,39,0,825,20,45,12,3,1,2,0,38.25
0,0,38,0,115,6,32,4,2,1,2,1,19.575
3,0,38,1,7623,133,416,47,3,1,1,0,353.49
7,0,38,2,11580,160,43,51,4,1,1,0,180.15
8,0,38,2,6833,81,140,41,2,1,1,0,370.485
23,1,34,0,1070,53,48,21,3,1,2,1,46.5
21,0,37,9,10550,99,33,46,5,1,1,0,54.4
13,0,37,2,5933,104,58,28,3,1,1,0,195.39
1,0,35,1,2955,28,32,18,3,1,1,0,98.25
9,1,36,0,3105,47,41,20,3,1,2,1,105.45
9,0,37,0,2383,50,66,35,4,1,2,1,45.645
0,0,37,0,248,8,32,6,3,1,2,1,17.04
1,0,37,1,1783,31,32,10,4,1,1,0,31.545
3,0,34,2,6900,103,46,26,5,1,1,0,36.8
0,0,37,0,743,13,41,8,4,1,2,1,17.295
0,0,37,2,453,10,36,6,5,1,1,0,4.065
25,0,32,4,16190,244,32,84,2,2,1,0,742.95
6,0,35,4,7080,122,303,37,3,2,1,0,303.3
2,0,37,1,3833,88,34,32,3,1,1,0,125.19
3,0,36,0,1780,50,70,24,4,1,2,0,37.2
6,0,37,1,2895,59,207,27,2,1,1,0,223.425
4,0,28,2,1430,42,225,15,3,2,1,0,110.4
4,0,27,1,1683,45,62,72,5,1,1,0,11.515
11,0,28,0,815,31,42,11,3,1,2,0,37.05
0,0,27,0,940,16,53,7,4,1,2,0,22.05
10,0,26,1,1340,38,51,17,2,1,1,0,83.25
2,0,26,1,3340,67,40,27,3,1,1,0,112.2
2,0,19,1,1810,32,60,18,3,1,1,0,72.3
16,0,18,2,6508,147,117,46,2,2,1,0,345.51
12,0,16,1,9048,177,105,44,5,1,1,0,50.49
8,0,17,4,2968,51,63,23,3,2,1,0,107.94
2,0,10,2,4505,46,247,14,3,1,1,0,209.25
3,0,10,2,1603,25,32,11,3,1,1,1,57.69
8,0,37,0,4255,65,0,13,2,1,1,0,191.475
0,0,38,0,0,0,0,0,2,1,2,0,0
10,0,36,0,2338,54,327,20,2,1,1,0,252.36
10,0,37,0,4083,60,0,31,1,1,1,0,244.98
3,0,37,0,2278,52,0,29,1,1,1,0,136.68
11,0,37,0,3660,76,0,24,2,1,1,0,164.7
4,0,37,0,2245,33,253,14,3,1,1,0,143.25
13,0,36,1,9000,115,112,39,3,1,1,0,303.6
7,0,37,0,13658,163,0,40,3,1,1,0,409.74
7,0,37,0,4400,77,0,21,3,1,1,0,132
6,0,37,0,5803,89,0,8,2,1,1,0,261.135
9,0,37,0,2123,48,0,13,3,1,2,0,63.69
25,0,37,2,15025,219,22,28,3,1,1,0,457.35
4,0,37,0,2980,21,451,4,3,1,1,0,224.7
9,0,36,0,15370,176,118,26,2,1,1,0,744.75
3,0,36,0,6385,80,154,22,3,1,1,0,237.75
0,0,36,0,760,8,0,7,2,1,2,0,34.2
2,0,37,0,595,8,0,4,2,1,2,0,26.775
0,1,36,0,0,0,0,0,2,1,2,1,0
3,0,36,0,7393,121,352,39,2,1,1,0,491.085
7,0,36,0,11350,148,0,43,3,1,1,0,340.5
8,0,36,0,6603,69,76,33,2,1,1,0,331.335
23,0,32,0,840,41,0,13,2,1,2,1,37.8
21,0,35,7,10320,87,0,38,4,2,1,0,154.8
13,1,35,0,5703,92,0,20,2,1,1,1,256.635
1,0,33,0,2725,16,0,10,3,1,1,0,81.75
9,1,34,0,2875,35,0,12,2,1,2,1,129.375
9,0,35,0,2153,38,2,27,3,1,2,1,65.19
0,0,35,0,0,0,0,0,2,1,2,1,0
1,0,35,0,1553,19,0,2,3,1,1,0,46.59
3,0,32,0,6670,91,0,18,4,1,1,0,100.05
0,0,35,0,513,1,0,3,4,1,2,1,7.695
0,0,35,0,0,0,0,0,4,1,1,0,0
25,0,30,2,15960,232,0,76,2,1,1,0,718.2
6,0,33,2,6850,110,239,29,2,2,1,0,415.8
2,0,35,0,3603,76,0,24,2,1,1,0,162.135
3,0,34,0,1550,38,6,16,3,1,2,0,48.3
6,0,35,0,2665,47,143,19,2,1,1,0,184.275
4,0,26,0,1200,30,161,7,2,2,1,0,126.45
4,0,25,0,1453,33,0,64,4,1,1,0,21.795
11,0,26,0,585,19,0,3,2,1,2,0,26.325
0,0,25,0,710,4,0,1,4,1,2,0,10.65
10,0,24,0,1110,26,0,9,2,1,1,0,49.95
2,0,24,0,3110,55,0,19,3,1,1,0,93.3
2,0,17,0,1580,20,0,10,2,1,1,0,71.1
16,0,16,0,6278,135,53,38,1,2,1,0,408.48
12,0,14,0,8818,165,41,36,4,1,1,0,138.42
8,0,15,2,2738,39,0,15,3,1,1,0,82.14
2,0,8,0,4275,34,183,6,3,1,1,0,183.15
3,1,8,0,1373,13,0,3,2,1,1,1,61.785
10,0,38,0,4560,72,14,20,3,1,1,0,141
2,0,39,0,508,6,16,7,2,1,2,0,30.06
12,0,37,0,2643,61,368,27,3,1,1,0,189.69
12,0,38,0,4388,67,10,38,1,1,1,0,269.28
5,0,38,0,2583,59,11,36,1,1,1,0,161.58
13,0,38,1,3965,83,41,31,3,1,1,0,131.25
6,0,38,0,2550,40,294,21,3,1,1,0,164.7
15,0,37,2,9305,122,153,46,3,1,1,0,325.05
9,0,38,0,13963,170,9,47,3,1,1,0,421.59
9,0,38,1,4705,84,11,28,3,1,1,0,144.45
8,0,38,0,6108,96,16,15,3,1,1,0,188.04
11,1,38,0,2428,55,17,20,3,1,2,0,77.94
27,0,38,3,15330,226,63,35,3,1,1,0,478.8
6,0,38,1,3285,28,492,11,3,1,1,0,246.15
11,0,37,0,15675,183,159,33,2,1,1,0,776.925
5,0,37,1,6690,87,195,29,3,1,1,0,259.2
2,0,37,0,1065,15,9,14,2,1,2,0,51.975
4,0,38,0,900,15,22,11,3,1,2,0,33.6
2,0,37,0,190,1,9,3,2,1,2,1,12.6
5,0,37,0,7698,128,393,46,2,1,1,0,523.26
9,0,37,1,11655,155,20,50,4,1,1,0,177.825
10,0,37,1,6908,76,117,40,2,1,1,0,363.51
25,1,33,0,1145,48,25,20,2,1,2,1,62.775
23,0,36,8,10625,94,10,45,5,1,1,0,53.625
15,0,36,1,6008,99,35,27,2,1,1,1,286.11
3,0,34,0,3030,23,9,17,3,1,1,0,93.6
11,1,35,0,3180,42,18,19,3,1,2,1,100.8
11,1,36,0,2458,45,43,34,3,1,2,1,86.64
2,0,36,0,323,3,9,5,3,1,2,1,12.39
3,0,36,0,1858,26,9,9,3,1,1,0,58.44
5,0,33,1,6975,98,23,25,5,1,1,0,36.025
2,0,36,0,818,8,18,7,4,1,2,1,14.97
2,0,36,1,528,5,13,5,5,1,1,0,3.29
27,0,31,3,16265,239,9,83,2,1,1,0,735.975
8,0,34,3,7155,117,280,36,2,2,1,0,447.975
4,0,36,0,3908,83,11,31,2,1,1,0,180.81
5,0,35,0,1855,45,47,23,3,1,2,0,69.75
8,0,36,0,2970,54,184,26,2,1,1,0,216.45
6,1,27,1,1505,37,202,14,2,2,1,1,158.625
6,0,26,0,1758,40,39,71,4,1,1,0,32.22
13,0,27,0,890,26,19,10,2,1,2,0,48.6
2,0,26,0,1015,11,30,6,4,1,2,0,19.725
12,0,25,0,1415,33,28,16,2,1,1,0,76.275
4,0,25,0,3415,62,17,26,3,1,1,0,107.55
4,0,18,0,1885,27,37,17,2,1,1,0,101.475
18,0,17,1,6582,142,94,45,2,2,1,0,338.49
14,0,15,0,9122,172,82,43,4,1,1,0,149.13
10,0,16,3,3042,46,40,22,3,1,1,0,103.26
4,0,9,1,4580,41,224,13,3,1,1,0,204.6
5,0,9,1,1677,20,9,10,3,1,1,1,53.01
6,0,38,0,4180,70,0,14,3,1,1,0,125.4
0,0,39,0,128,4,0,1,2,1,2,0,5.76
8,0,37,0,2263,59,350,21,3,1,1,0,172.89
8,0,38,0,4008,65,0,32,1,1,1,0,240.48
1,0,38,0,2203,57,0,30,1,1,1,0,132.18
9,0,38,1,3585,81,23,25,3,1,1,0,114.45
2,0,38,0,2170,38,276,15,3,1,1,0,147.9
11,0,37,2,8925,120,135,40,3,1,1,0,308.25
5,0,38,0,13583,168,0,41,3,1,1,0,407.49
5,0,38,1,4325,82,0,22,3,1,1,0,129.75
4,0,38,0,5728,94,0,9,3,1,1,0,171.84
7,0,38,0,2048,53,0,14,3,1,2,0,61.44
23,0,38,3,14950,224,45,29,3,1,1,0,462
2,0,38,1,2905,26,474,5,3,1,1,0,229.35
7,0,37,0,15295,181,141,27,2,1,1,0,751.725
1,0,37,1,6310,85,177,23,3,1,1,0,242.4
0,0,37,0,685,13,0,8,2,1,2,0,30.825
0,0,38,0,520,13,4,5,3,1,2,0,16.8
0,0,37,0,0,0,0,0,2,1,2,1,0
1,0,37,0,7318,126,375,40,2,1,1,0,498.06
5,0,37,1,11275,153,2,44,4,1,1,0,169.425
6,0,37,1,6528,74,99,34,2,1,1,0,338.31
21,0,33,0,765,46,7,14,2,1,2,1,37.575
19,0,36,8,10245,92,0,39,5,2,1,0,51.225
11,0,36,1,5628,97,17,21,2,1,1,1,260.91
0,0,34,0,2650,21,0,11,3,1,1,0,79.5
7,1,35,0,2800,40,0,13,3,1,2,1,84
7,0,36,0,2078,43,25,28,3,1,2,1,69.84
0,0,36,0,0,0,0,0,3,1,2,1,0
0,0,36,0,1478,24,0,3,3,1,1,0,44.34
1,0,33,1,6595,96,5,19,5,1,1,0,33.225
0,0,36,0,438,6,0,1,4,1,2,1,6.57
0,0,36,1,0,0,0,0,5,1,1,0,0
23,0,31,3,15885,237,0,77,2,1,1,0,714.825
4,0,34,3,6775,115,262,30,2,2,1,0,422.775
0,0,36,0,3528,81,0,25,2,1,1,0,158.76
1,0,35,0,1475,43,29,17,3,1,2,0,52.95
4,0,36,0,2590,52,166,20,2,1,1,0,191.25
2,0,27,1,1125,35,184,8,2,2,1,0,133.425
2,0,26,0,1378,38,21,65,4,1,1,0,23.82
9,0,27,0,510,24,1,4,2,1,2,0,23.4
0,0,26,0,635,9,12,1,4,1,2,0,11.325
8,0,25,0,1035,31,10,10,2,1,1,0,51.075
0,0,25,0,3035,60,0,20,3,1,1,0,91.05
0,0,18,0,1505,25,19,11,2,1,1,0,76.275
14,0,17,1,6202,140,76,39,2,2,1,0,313.29
10,0,15,0,8742,170,64,37,4,1,1,0,140.73
6,0,16,3,2662,44,22,16,3,1,1,0,86.46
0,0,9,1,4200,39,206,7,3,1,1,0,187.8
1,0,9,1,1297,18,0,4,3,1,1,1,38.91
6,0,33,0,4370,65,0,16,2,1,1,0,196.65
0,0,34,0,318,4,0,3,2,1,2,0,14.31
8,0,32,0,2453,54,351,23,2,1,1,0,268.335
8,0,33,0,4198,60,0,34,1,1,1,0,251.88
1,0,33,0,2393,52,0,32,1,1,1,0,143.58
9,0,33,0,3775,76,24,27,2,1,1,0,180.675
2,0,33,0,2360,33,277,17,3,1,1,0,153.9
11,0,32,1,9115,115,136,42,3,1,1,0,314.25
5,0,33,0,13773,163,0,43,3,1,1,0,413.19
5,0,33,0,4515,77,0,24,3,1,1,0,135.45
4,0,33,0,5918,89,0,11,2,1,1,0,266.31
7,1,33,0,2238,48,0,16,3,1,2,0,67.14
23,0,33,2,15140,219,46,31,3,1,1,0,468
2,0,33,0,3095,21,475,7,3,1,1,0,235.35
7,0,32,0,15485,176,142,29,2,1,1,0,760.725
1,0,32,0,6500,80,178,25,3,1,1,0,248.4
0,0,32,0,875,8,0,10,2,1,2,0,39.375
0,0,33,0,710,8,5,7,2,1,2,0,34.2
0,0,32,0,0,0,0,0,2,1,2,1,0
1,0,32,0,7508,121,376,42,2,1,1,0,507.06
5,0,32,0,11465,148,3,46,3,1,1,0,344.85
6,0,32,0,6718,69,100,36,2,1,1,0,347.31
21,1,28,0,955,41,8,16,2,1,2,1,46.575
19,0,31,7,10435,87,0,41,4,1,1,0,156.525
11,0,31,0,5818,92,18,23,2,1,1,1,269.91
0,0,29,0,2840,16,0,13,3,1,1,0,85.2
7,1,30,0,2990,35,1,15,2,1,2,1,135
7,1,31,0,2268,38,26,30,3,1,2,1,75.84
0,1,31,0,0,0,0,0,2,1,2,1,0
0,0,31,0,1668,19,0,5,3,1,1,0,50.04
1,0,28,0,6785,91,6,21,4,1,1,0,102.675
0,0,31,0,628,1,1,3,4,1,2,1,9.57
0,0,31,0,338,5,0,1,4,1,1,0,5.07
23,0,26,2,16075,232,0,79,2,1,1,0,723.375
4,0,29,2,6965,110,263,32,2,2,1,0,431.775
0,0,31,0,3718,76,0,27,2,1,1,0,167.31
1,0,30,0,1665,38,30,19,3,1,2,0,58.95
4,0,31,0,2780,47,167,22,2,1,1,0,200.25
2,0,22,0,1315,30,185,10,2,2,1,0,142.425
2,0,21,0,1568,33,22,67,4,1,1,0,26.82
9,0,22,0,700,19,2,6,2,1,2,0,32.4
0,0,21,0,825,4,13,2,4,1,2,0,14.325
8,0,20,0,1225,26,11,12,2,1,1,0,60.075
0,0,20,0,3225,55,0,22,3,1,1,0,96.75
0,0,13,0,1695,20,20,13,2,1,1,0,85.275
14,0,12,0,6392,135,77,41,1,2,1,0,429.72
10,0,10,0,8932,165,65,39,4,1,1,0,143.73
6,0,11,2,2852,39,23,18,3,1,1,0,92.46
0,0,4,0,4390,34,207,9,3,1,1,0,193.8
1,0,4,0,1487,13,0,6,2,1,1,1,66.915
10,0,43,1,4370,77,13,18,3,1,1,0,135
2,0,44,0,318,11,15,5,3,1,2,0,14.04
12,0,42,1,2453,66,367,25,3,1,1,0,183.69
12,0,43,1,4198,72,9,36,1,1,1,0,257.28
5,0,43,1,2393,64,10,34,2,1,1,0,112.185
13,0,43,2,3775,88,40,29,3,1,1,0,125.25
6,0,43,1,2360,45,293,19,4,1,1,0,79.35
15,0,42,3,9115,127,152,44,3,1,1,0,319.05
9,0,43,1,13773,175,8,45,3,1,1,0,415.59
9,0,43,2,4515,89,10,26,3,1,1,0,138.45
8,0,43,1,5918,101,15,13,3,1,1,0,182.04
11,1,43,0,2238,60,16,18,3,1,2,0,71.94
27,0,43,4,15140,231,62,33,3,1,1,0,472.8
6,0,43,2,3095,33,491,9,4,1,1,0,120.075
11,0,42,1,15485,188,158,31,2,1,1,0,767.925
5,0,42,2,6500,92,194,27,3,1,1,0,253.2
2,0,42,0,875,20,8,12,2,1,2,0,42.975
4,0,43,0,710,20,21,9,3,1,2,0,27.6
0,0,42,0,0,0,8,0,2,1,2,1,3.6
5,0,42,1,7508,133,392,44,3,1,1,0,342.84
9,0,42,2,11465,160,19,48,4,1,1,0,174.825
10,0,42,2,6718,81,116,38,2,1,1,0,354.51
25,1,38,0,955,53,24,18,3,1,2,1,35.85
23,0,41,9,10435,99,9,43,5,2,1,0,52.625
15,0,41,2,5818,104,34,25,3,1,1,0,184.74
3,0,39,1,2840,28,8,15,3,1,1,0,87.6
11,0,40,0,2990,47,17,17,3,1,2,1,94.8
11,1,41,0,2268,50,42,32,4,1,2,1,40.32
2,0,41,0,133,8,8,3,3,1,2,1,6.39
3,0,41,1,1668,31,8,7,4,1,1,0,26.22
5,0,38,2,6785,103,22,23,5,1,1,0,35.025
2,0,41,0,628,13,17,5,4,1,2,1,11.97
2,0,41,2,338,10,12,3,5,1,1,0,2.29
27,0,36,4,16075,244,8,81,2,1,1,0,726.975
8,0,39,4,6965,122,279,34,3,2,1,0,292.65
4,0,41,1,3718,88,10,29,3,1,1,0,114.54
5,0,40,0,1665,50,46,21,4,1,2,0,31.875
8,0,41,1,2780,59,183,24,2,1,1,0,207.45
6,1,32,2,1315,42,201,12,3,2,1,1,99.75
6,0,31,1,1568,45,38,69,5,1,1,0,9.74
13,0,32,0,700,31,18,8,3,1,2,0,26.4
2,0,31,0,825,16,29,4,4,1,2,0,16.725
12,0,30,1,1225,38,27,14,2,1,1,0,67.275
4,0,30,1,3225,67,16,24,3,1,1,0,101.55
4,0,23,1,1695,32,36,15,3,1,1,0,61.65
18,0,22,2,6392,147,93,43,2,2,1,0,329.49
14,0,20,1,8932,177,81,41,5,1,1,0,48.71
10,0,21,4,2852,51,39,20,3,1,1,0,97.26
4,0,14,2,4390,46,223,11,3,1,1,0,198.6
5,1,14,2,1487,25,8,8,3,1,1,1,47.01
14,0,39,1,5080,82,30,17,3,1,1,0,161.4
6,0,40,0,1028,16,15,4,3,1,2,0,35.34
16,0,38,1,3163,71,367,24,3,1,1,0,204.99
16,0,39,1,4908,77,9,35,1,1,1,0,299.88
9,0,39,1,3103,69,10,33,2,1,1,0,144.135
17,0,39,2,4485,93,40,28,3,1,1,0,146.55
10,0,39,1,3070,50,293,18,3,1,1,0,180
19,0,38,3,9825,132,152,43,3,1,1,0,340.35
13,0,39,1,14483,180,8,44,3,1,1,0,436.89
13,0,39,2,5225,94,10,25,3,1,1,0,159.75
12,0,39,1,6628,106,15,12,3,1,1,0,203.34
15,0,39,0,2948,65,16,17,3,1,2,0,93.24
31,1,39,4,15850,236,62,32,3,1,1,0,494.1
10,0,39,2,3805,38,491,8,3,1,1,0,261.45
15,0,38,1,16195,193,158,30,2,1,1,0,799.875
9,0,38,2,7210,97,194,26,3,1,1,0,274.5
6,0,38,0,1585,25,8,11,2,1,2,0,74.925
8,0,39,0,1420,25,21,8,3,1,2,0,48.9
6,0,38,0,710,11,8,2,2,1,2,1,35.55
9,0,38,1,8218,138,392,43,3,1,1,0,364.14
13,0,38,2,12175,165,19,47,4,1,1,0,185.475
14,0,38,2,7428,86,116,37,2,1,1,0,386.46
29,1,34,0,1665,58,24,17,3,1,2,1,57.15
27,0,37,9,11145,104,9,42,5,2,1,0,56.175
19,0,37,2,6528,109,34,24,2,1,1,0,309.06
7,0,35,1,3550,33,8,14,3,1,1,0,108.9
15,1,36,0,3700,52,17,16,3,1,2,1,116.1
15,1,37,0,2978,55,42,31,3,1,2,1,101.94
6,0,37,0,843,13,8,2,3,1,2,1,27.69
7,0,37,1,2378,36,8,6,4,1,1,0,36.87
9,0,34,2,7495,108,22,22,5,1,1,0,38.575
6,1,37,0,1338,18,17,4,4,1,2,1,22.62
6,0,37,2,1048,15,12,2,5,1,1,0,5.84
31,1,32,4,16785,249,8,80,2,1,1,0,758.925
12,1,35,4,7675,127,279,33,3,2,1,0,313.95
8,0,37,1,4428,93,10,28,3,1,1,0,135.84
9,0,36,0,2375,55,46,20,3,1,2,0,85.05
12,0,37,1,3490,64,183,23,2,1,1,0,239.4
10,0,28,2,2025,47,201,11,3,2,1,0,121.05
10,0,27,1,2278,50,38,68,4,1,1,0,39.87
17,0,28,0,1410,36,18,7,3,1,2,0,47.7
6,0,27,0,1535,21,29,3,4,1,2,0,27.375
16,0,26,1,1935,43,27,13,2,1,1,0,99.225
8,0,26,1,3935,72,16,23,3,1,1,0,122.85
8,0,19,1,2405,37,36,14,2,1,1,0,124.425
22,0,18,2,7102,152,93,42,2,2,1,0,361.44
18,0,16,1,9642,182,81,40,5,1,1,0,52.26
14,0,17,4,3562,56,39,19,3,2,1,0,118.56
8,0,10,2,5100,51,223,10,3,1,1,0,219.9
9,0,10,2,2197,30,8,7,3,1,1,1,68.31
2,0,37,0,3660,60,0,17,2,1,1,0,164.7
0,0,38,0,0,0,0,0,2,1,2,0,0
4,0,36,0,1743,49,334,24,2,1,1,0,228.735
4,0,37,0,3488,55,0,35,1,1,1,0,209.28
0,0,37,0,1683,47,0,33,1,1,1,0,100.98
5,0,37,0,3065,71,7,28,3,1,1,0,94.05
0,0,37,0,1650,28,260,18,3,1,1,0,127.5
7,0,36,1,8405,110,119,43,3,1,1,0,287.85
1,0,37,0,13063,158,0,44,3,1,1,0,391.89
1,0,37,0,3805,72,0,25,3,1,1,0,114.15
0,0,37,0,5208,84,0,12,2,1,1,0,234.36
3,0,37,0,1528,43,0,17,3,1,2,0,45.84
19,0,37,2,14430,214,29,32,3,1,1,0,441.6
0,0,37,0,2385,16,458,8,3,1,1,0,208.95
3,0,36,0,14775,171,125,30,2,1,1,0,721.125
0,0,36,0,5790,75,161,26,3,1,1,0,222
0,0,36,0,165,3,0,11,2,1,2,0,7.425
0,0,37,0,0,0,0,0,2,1,2,0,0
0,0,36,0,0,0,0,0,2,1,2,1,0
0,0,36,0,6798,116,359,43,2,1,1,0,467.46
1,0,36,0,10755,143,0,47,3,1,1,0,322.65
2,0,36,0,6008,64,83,37,2,1,1,0,307.71
17,0,32,0,245,36,0,17,2,1,2,1,11.025
15,0,35,7,9725,82,0,42,4,1,1,0,145.875
7,0,35,0,5108,87,1,24,2,1,1,1,230.31
0,0,33,0,2130,11,0,14,3,1,1,0,63.9
3,1,34,0,2280,30,0,16,2,1,2,1,102.6
3,0,35,0,1558,33,9,31,3,1,2,1,49.44
0,0,35,0,0,0,0,0,3,1,2,1,0
0,0,35,0,958,14,0,6,3,1,1,0,28.74
0,0,32,0,6075,86,0,22,4,1,1,0,91.125
0,0,35,0,0,0,0,0,4,1,2,1,0
0,0,35,0,0,0,0,0,5,1,1,0,0
19,0,30,2,15365,227,0,80,2,1,1,0,691.425
0,0,33,2,6255,105,246,33,2,2,1,0,392.175
0,0,35,0,3008,71,0,28,2,1,1,0,135.36
0,0,34,0,955,33,13,20,3,1,2,0,32.55
0,0,35,0,2070,42,150,23,2,1,1,0,160.65
0,0,26,0,605,25,168,11,2,2,1,0,102.825
0,0,25,0,858,28,5,68,4,1,1,0,13.62
0,0,26,0,0,0,0,0,2,1,2,0,0
0,0,25,0,0,0,0,0,4,1,2,0,0
4,0,24,0,515,21,0,13,2,1,1,0,23.175
0,0,24,0,2515,50,0,23,3,1,1,0,75.45
0,0,17,0,985,15,3,14,2,1,1,0,45.675
10,0,16,0,5682,130,60,42,1,2,1,0,376.92
6,0,14,0,8222,160,48,40,4,1,1,0,130.53
2,0,15,2,2142,34,6,19,3,1,1,0,66.06
0,0,8,0,3680,29,190,10,3,1,1,0,167.4
0,0,8,0,777,8,0,7,3,1,1,1,23.31
8,0,38,0,4370,71,5,17,3,1,1,0,132.6
0,0,39,0,318,5,7,4,2,1,2,0,17.46
10,0,37,0,2453,60,359,24,3,1,1,0,181.29
10,0,38,0,4198,66,1,35,1,1,1,0,252.48
3,0,38,0,2393,58,2,33,1,1,1,0,144.78
11,0,38,1,3775,82,32,28,3,1,1,0,122.85
4,0,38,0,2360,39,285,18,3,1,1,0,156.3
13,0,37,2,9115,121,144,43,3,1,1,0,316.65
7,0,38,0,13773,169,0,44,3,1,1,0,413.19
7,0,38,1,4515,83,2,25,3,1,1,0,136.05
6,0,38,0,5918,95,7,12,3,1,1,0,179.64
9,1,38,0,2238,54,8,17,3,1,2,0,69.54
25,0,38,3,15140,225,54,32,3,1,1,0,470.4
4,0,38,1,3095,27,483,8,3,1,1,0,237.75
9,0,37,0,15485,182,150,30,2,1,1,0,764.325
3,0,37,1,6500,86,186,26,3,1,1,0,250.8
